"OBJECTID","ICNUM","CPNM","IDC","CROPNAME","BIO_E","HVSTI","BLAI","FRGRW1","LAIMX1","FRGRW2","LAIMX2","DLAI","CHTMX","RDMX","T_OPT","T_BASE","CNYLD","CPYLD","BN1","BN2","BN3","BP1","BP2","BP3","WSYF","USLE_C","GSI","VPDFR","FRGMAX","WAVP","CO2HI","BIOEHI","RSDCO_PL","OV_N","CN2A","CN2B","CN2C","CN2D","FERTFIELD","ALAI_MIN","BIO_LEAF","MAT_YRS","BMX_TREES","EXT_COEF","BM_DIEOFF"
11,11.00,"WETN",6.00,"Wetlands-Non-Forested",47.00,.90,6.00,.10,.20,.20,.95,.70,2.50,2.20,25.00,12.00,.01,2.2e-03,.03,.01,3.8e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,8.50,660.00,54.00,.05,.05,49.00,69.00,79.00,84.00,.00,.00,.00,.00,.00,.65,.10
12,12.00,"PAST",6.00,"Pasture",35.00,.90,4.00,.05,.05,.49,.95,.99,.50,2.00,25.00,12.00,.02,3.3e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,36.00,.05,.15,49.00,69.00,79.00,84.00,.00,.00,.00,.00,.00,.65,.10
13,13.00,"SPAS",6.00,"Summer Pasture",35.00,.90,4.00,.05,.05,.49,.95,.99,.50,2.00,25.00,12.00,.02,3.3e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,36.00,.05,.15,49.00,69.00,79.00,84.00,.00,.00,.00,.00,.00,.65,.10
14,14.00,"WPAS",6.00,"Winter Pasture",30.00,.90,4.00,.15,.01,.50,.95,.80,1.50,2.00,15.00,.00,.02,3.3e-03,.05,.02,.01,9.9e-03,2.2e-03,1.9e-03,.90,3.0e-03,5.0e-03,4.00,.75,8.00,660.00,39.00,.05,.15,49.00,69.00,79.00,84.00,.00,.00,.00,.00,.00,.65,.10
15,15.00,"RNGE",6.00,"Range-Grasses",34.00,.90,2.50,.05,.10,.25,.70,.35,1.00,2.00,25.00,12.00,.01,2.2e-03,.02,.01,5.0e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,39.00,.05,.15,49.00,69.00,79.00,84.00,.00,.00,.00,.00,.00,.33,.10
16,16.00,"RNGB",6.00,"Range-Brush",34.00,.90,2.00,.05,.10,.25,.70,.35,1.00,2.00,25.00,12.00,.01,2.2e-03,.02,.01,5.0e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,39.00,.05,.15,39.00,61.00,74.00,80.00,.00,.00,.00,.00,.00,.33,.10
17,17.00,"SWRN",6.00,"Southwestern US (Arid) Range",34.00,.90,1.50,.05,.10,.25,.70,.35,1.00,2.00,25.00,12.00,.01,2.2e-03,.02,.01,5.0e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,39.00,.05,.15,39.00,61.00,74.00,80.00,.00,.00,.00,.00,.00,.33,.10
18,18.00,"WATR",6.00,"Water",.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.01,92.00,92.00,92.00,92.00,.00,.00,.00,.00,.00,.00,.10
19,19.00,"CORN",4.00,"Corn",39.00,.50,6.00,.15,.05,.50,.95,.70,2.50,2.00,25.00,8.00,.01,1.6e-03,.04,.01,.01,4.8e-03,1.8e-03,1.4e-03,.30,.20,7.0e-03,4.00,.75,7.20,660.00,45.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
20,20.00,"CSIL",4.00,"Corn Silage",39.00,.90,4.00,.15,.05,.50,.95,.70,2.50,2.00,25.00,8.00,.01,1.6e-03,.04,.01,.01,4.8e-03,1.8e-03,1.4e-03,.90,.20,7.0e-03,4.00,.75,7.20,660.00,45.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
21,21.00,"SCRN",4.00,"Sweet Corn",39.00,.50,2.50,.15,.05,.50,.95,.50,2.50,2.00,24.00,12.00,.02,3.7e-03,.04,.01,.01,4.8e-03,1.8e-03,1.4e-03,.30,.20,7.0e-03,4.00,.75,7.20,660.00,45.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
22,22.00,"EGAM",6.00,"Eastern Gamagrass",21.00,.90,2.50,.05,.18,.25,.90,.40,1.70,2.00,25.00,12.00,.01,2.2e-03,.02,.01,7.0e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,58.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.31,.10
23,23.00,"GRSG",4.00,"Grain Sorghum",33.50,.45,3.00,.15,.05,.50,.95,.64,1.00,2.00,30.00,11.00,.01,3.2e-03,.04,.01,.01,6.0e-03,2.2e-03,1.8e-03,.25,.20,5.0e-03,4.00,.75,8.50,660.00,36.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
24,24.00,"SGHY",4.00,"Sorghum Hay",33.50,.90,4.00,.15,.05,.50,.95,.64,1.50,2.00,30.00,11.00,.01,3.2e-03,.04,.01,.01,6.0e-03,2.2e-03,1.8e-03,.90,.20,5.0e-03,4.00,.75,8.50,660.00,36.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
25,25.00,"JHGR",6.00,"Johnsongrass",35.00,.90,2.50,.15,.05,.57,.95,.50,1.00,2.00,30.00,11.00,.02,2.8e-03,.04,.01,.01,6.0e-03,2.2e-03,1.8e-03,.90,.20,5.0e-03,4.00,.75,8.50,660.00,36.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
26,26.00,"SUGC",6.00,"Sugarcane",25.00,.50,6.00,.15,.01,.50,.95,.75,3.00,2.00,25.00,11.00,.00,.00,.01,4.0e-03,2.5e-03,7.5e-03,3.0e-03,1.9e-03,.01,1.0e-03,5.0e-03,4.00,.75,10.00,660.00,33.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
27,27.00,"SWHT",5.00,"Spring Wheat",35.00,.42,4.00,.15,.05,.50,.95,.60,.90,2.00,18.00,.00,.02,3.3e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.20,.03,6.0e-03,4.00,.75,8.00,660.00,46.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
28,28.00,"WWHT",5.00,"Winter Wheat",30.00,.40,4.00,.05,.05,.45,.95,.50,.90,1.30,18.00,.00,.02,2.2e-03,.06,.02,.01,5.3e-03,2.0e-03,1.2e-03,.20,.03,6.0e-03,4.00,.75,6.00,660.00,39.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
29,29.00,"DWHT",5.00,"Durum Wheat",30.00,.40,4.00,.15,.01,.50,.95,.80,1.00,2.00,15.00,.00,.02,5.7e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.20,.03,6.0e-03,4.00,.75,7.00,660.00,45.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
30,30.00,"RYE",5.00,"Rye",35.00,.40,4.00,.15,.01,.50,.95,.80,1.00,1.80,12.50,.00,.02,4.2e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.20,.03,.01,4.00,.75,7.00,660.00,45.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
31,31.00,"BARL",5.00,"Spring Barley",35.00,.54,4.00,.15,.01,.45,.95,.60,1.20,1.30,25.00,.00,.02,1.7e-03,.05,.02,.01,5.7e-03,2.2e-03,1.3e-03,.20,.01,8.0e-03,4.00,.75,7.00,660.00,45.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
32,32.00,"OATS",5.00,"Oats",35.00,.42,4.00,.15,.02,.50,.95,.80,1.50,2.00,15.00,.00,.03,5.7e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.17,.03,5.0e-03,4.00,.75,10.00,660.00,45.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.45,.10
33,33.00,"RICE",4.00,"Rice",22.00,.50,5.00,.30,.01,.70,.95,.80,.80,.90,25.00,10.00,.01,1.3e-03,.05,.02,.01,6.0e-03,3.0e-03,1.8e-03,.25,.03,8.0e-03,4.00,.75,5.00,660.00,31.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.35,.10
34,34.00,"PMIL",4.00,"Pearl Millet",35.00,.25,2.50,.15,.01,.50,.95,.85,3.00,2.00,30.00,10.00,.02,2.8e-03,.04,.03,.01,6.0e-03,2.2e-03,1.2e-03,.10,.20,.01,4.00,.75,8.00,660.00,40.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
35,35.00,"TIMO",6.00,"Timothy",35.00,.90,4.00,.15,.01,.50,.95,.85,.80,2.00,25.00,8.00,.02,3.3e-03,.03,.01,.01,3.8e-03,2.5e-03,1.9e-03,.90,3.0e-03,5.0e-03,4.00,.75,8.00,660.00,45.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
36,36.00,"BROS",6.00,"Smooth Bromegrass",35.00,.90,5.00,.15,.01,.50,.95,.85,1.20,2.00,25.00,8.00,.02,3.3e-03,.04,.02,.01,2.8e-03,1.7e-03,1.1e-03,.90,3.0e-03,3.0e-03,4.00,.75,8.00,660.00,45.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
37,37.00,"BROM",6.00,"Meadow Bromegrass",35.00,.90,3.00,.45,.02,.80,.95,.85,.80,1.30,25.00,6.00,.02,3.3e-03,.04,.02,.01,2.8e-03,1.7e-03,1.1e-03,.90,3.0e-03,5.0e-03,4.00,.75,8.00,660.00,45.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
38,38.00,"FESC",6.00,"Tall Fescue",30.00,.90,4.00,.15,.01,.50,.95,.80,1.50,2.00,15.00,.00,.02,3.3e-03,.05,.02,.01,9.9e-03,2.2e-03,1.9e-03,.90,3.0e-03,5.0e-03,4.00,.75,8.00,660.00,39.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
39,39.00,"BLUG",6.00,"Kentucky Bluegrass",18.00,.90,2.00,.05,.05,.30,.70,.35,.20,1.40,25.00,12.00,.01,2.2e-03,.02,.01,6.0e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,31.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,1.40,.10
40,40.00,"BERM",6.00,"Bermudagrass",35.00,.90,4.00,.05,.05,.49,.95,.99,.50,2.00,25.00,12.00,.02,3.3e-03,.06,.02,.01,8.4e-03,3.2e-03,1.9e-03,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,36.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,1.00,.10
41,41.00,"CWGR",6.00,"Crested Wheatgrass",35.00,.90,4.00,.35,.02,.62,.95,.85,.90,1.30,25.00,6.00,.05,4.0e-03,.03,.02,.01,2.0e-03,1.5e-03,1.3e-03,.90,3.0e-03,5.0e-03,4.00,.75,8.00,660.00,38.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.40,.10
42,42.00,"WWGR",6.00,"Western Wheatgrass",35.00,.90,4.00,.50,.02,.89,.95,.85,.60,1.30,25.00,6.00,.05,4.0e-03,.03,.02,.01,2.0e-03,1.5e-03,1.3e-03,.90,3.0e-03,8.0e-03,4.00,.75,8.00,660.00,45.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
43,43.00,"SWGR",6.00,"Slender Wheatgrass",35.00,.90,4.00,.15,.01,.50,.95,.85,.70,2.00,25.00,8.00,.05,4.0e-03,.03,.02,.01,2.0e-03,1.5e-03,1.3e-03,.90,3.0e-03,5.0e-03,4.00,.75,8.00,660.00,45.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
44,44.00,"RYEG",5.00,"Italian (Annual) Ryegrass",30.00,.90,4.00,.20,.32,.45,.95,.50,.80,1.30,18.00,.00,.02,2.8e-03,.06,.02,.01,.01,4.0e-03,2.4e-03,.90,.03,5.0e-03,4.00,.75,6.00,660.00,39.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
45,45.00,"RYER",6.00,"Russian Wildrye",30.00,.90,3.00,.35,.02,.62,.95,.80,1.00,1.30,15.00,.00,.02,3.7e-03,.02,.01,.01,4.0e-03,4.0e-03,2.4e-03,.90,.03,6.0e-03,4.00,.75,8.00,660.00,39.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
46,46.00,"RYEA",6.00,"Altai Wildrye",30.00,.90,3.00,.35,.02,.62,.95,.80,1.10,1.30,15.00,.00,.02,3.7e-03,.02,.01,.01,4.0e-03,4.0e-03,2.4e-03,.90,.03,5.0e-03,4.00,.75,8.00,660.00,46.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
47,47.00,"SIDE",6.00,"Sideoats Grama",11.00,.90,1.70,.05,.05,.30,.70,.35,.40,1.40,25.00,12.00,.01,2.2e-03,.02,.01,6.0e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,21.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,1.12,.10
48,48.00,"BBLS",6.00,"Big Bluestem",14.00,.90,3.00,.05,.10,.25,.70,.35,1.00,2.00,25.00,12.00,.01,2.2e-03,.02,.01,5.0e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,39.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.36,.10
49,49.00,"LBLS",6.00,"Little Bluestem",34.00,.90,2.50,.05,.10,.25,.70,.35,1.00,2.00,25.00,12.00,.01,2.2e-03,.02,.01,5.0e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,39.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.36,.10
50,50.00,"SWCH",6.00,"Alamo Switchgrass",47.00,.90,6.00,.10,.20,.20,.95,.70,2.50,2.20,25.00,12.00,.01,2.2e-03,.03,.01,3.8e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,8.50,660.00,54.00,.05,.10,31.00,59.00,72.00,79.00,1.00,.00,.00,.00,.00,.33,.10
51,51.00,"INDN",6.00,"Indiangrass",34.00,.90,3.00,.05,.10,.25,.70,.35,1.00,2.00,25.00,12.00,.01,2.2e-03,.02,.01,5.0e-03,1.4e-03,1.0e-03,7.0e-04,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,39.00,.05,.10,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.36,.10
52,52.00,"ALFA",3.00,"Alfalfa",20.00,.90,4.00,.15,.01,.50,.95,.90,.90,3.00,20.00,4.00,.02,3.5e-03,.04,.02,.02,3.5e-03,2.8e-03,2.0e-03,.90,.01,.01,4.00,.75,10.00,660.00,35.00,.05,.06,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.65,.10
53,53.00,"CLVS",3.00,"Sweetclover",25.00,.90,4.00,.15,.01,.50,.95,.75,1.50,2.40,15.00,1.00,.06,4.0e-03,.06,.02,.02,6.0e-03,2.4e-03,2.4e-03,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,30.00,.05,.06,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.55,.10
54,54.00,"CLVR",2.00,"Red Clover",25.00,.90,4.00,.15,.01,.50,.95,.75,.75,1.50,15.00,1.00,.06,4.0e-03,.06,.02,.02,6.0e-03,2.4e-03,2.4e-03,.90,3.0e-03,6.0e-03,4.00,.75,10.00,660.00,30.00,.05,.06,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.55,.10
55,55.00,"CLVA",3.00,"Alsike Clover",25.00,.90,4.00,.15,.01,.50,.95,.75,.90,2.00,15.00,1.00,.06,4.0e-03,.06,.02,.02,6.0e-03,2.5e-03,2.5e-03,.90,3.0e-03,5.0e-03,4.00,.75,10.00,660.00,30.00,.05,.06,31.00,59.00,72.00,79.00,.00,.00,.00,.00,.00,.55,.10
56,56.00,"SOYB",1.00,"Soybean",25.00,.31,3.00,.15,.05,.50,.95,.60,.80,1.70,25.00,10.00,.06,9.1e-03,.05,.02,.02,7.4e-03,3.7e-03,3.5e-03,.01,.20,7.0e-03,4.00,.75,8.00,660.00,34.00,.05,.14,67.00,78.00,85.00,89.00,.00,.00,.00,.00,.00,.45,.10
57,57.00,"CWPS",1.00,"Cowpeas",35.00,.42,4.00,.15,.01,.50,.95,.80,1.20,2.00,28.00,14.00,.04,4.8e-03,.06,.02,.01,4.9e-03,1.9e-03,1.1e-03,.05,.03,5.0e-03,4.00,.75,8.00,660.00,39.00,.05,.14,67.00,78.00,85.00,89.00,.00,.00,.00,.00,.00,.65,.10
58,58.00,"MUNG",1.00,"Mung Beans",25.00,.31,4.00,.15,.01,.50,.95,.90,1.50,2.00,30.00,15.00,.04,4.0e-03,.05,.02,.02,7.4e-03,3.7e-03,3.5e-03,.01,.20,5.0e-03,4.00,.75,10.00,660.00,33.00,.05,.14,67.00,78.00,85.00,89.00,.00,.00,.00,.00,.00,.65,.10
59,59.00,"LIMA",1.00,"Lima Beans",25.00,.30,2.50,.10,.05,.80,.95,.90,.60,2.00,26.00,18.00,.03,4.6e-03,4.0e-03,3.0e-03,1.5e-03,3.5e-03,3.0e-03,1.5e-03,.22,.20,5.0e-03,4.00,.75,5.00,660.00,34.00,.05,.14,67.00,77.00,83.00,87.00,.00,.00,.00,.00,.00,.65,.10
60,60.00,"LENT",1.00,"Lentils",20.00,.61,4.00,.15,.02,.50,.95,.90,.55,1.20,20.00,3.00,.05,5.1e-03,.04,.01,.01,7.4e-03,3.7e-03,2.3e-03,.01,.20,5.0e-03,4.00,.75,10.00,660.00,33.00,.05,.14,67.00,77.00,83.00,87.00,.00,.00,.00,.00,.00,.65,.10
61,61.00,"PNUT",1.00,"Peanut",20.00,.40,4.00,.15,.01,.50,.95,.75,.50,2.00,27.00,14.00,.05,4.0e-03,.05,.02,.02,7.4e-03,3.7e-03,3.5e-03,.30,.20,6.0e-03,4.00,.75,4.00,660.00,25.00,.05,.14,67.00,77.00,83.00,87.00,.00,.00,.00,.00,.00,.65,.10
62,62.00,"FPEA",2.00,"Field Peas",25.00,.45,4.00,.15,.01,.50,.95,.75,1.20,1.20,15.00,1.00,.03,2.1e-03,.05,.03,.02,3.3e-03,1.9e-03,1.4e-03,.10,.01,5.0e-03,4.00,.75,10.00,660.00,30.00,.05,.14,67.00,77.00,83.00,87.00,.00,.00,.00,.00,.00,.65,.10
63,63.00,"PEAS",2.00,"Garden or Canning Peas",25.00,.30,2.50,.10,.05,.80,.95,.60,.60,1.20,14.00,5.00,.04,5.1e-03,4.0e-03,3.0e-03,1.5e-03,3.0e-03,2.0e-03,1.5e-03,.22,.20,5.0e-03,4.00,.75,5.00,660.00,34.00,.05,.14,67.00,77.00,83.00,87.00,.00,.00,.00,.00,.00,.65,.10
64,64.00,"SESB",1.00,"Sesbania",50.00,.31,5.00,.15,.01,.50,.95,.90,2.00,2.00,25.00,10.00,.06,9.1e-03,.05,.02,.01,7.4e-03,3.7e-03,3.5e-03,.01,.20,5.0e-03,4.00,.75,10.00,660.00,60.00,.05,.14,67.00,77.00,83.00,87.00,.00,.00,.00,.00,.00,.65,.10
65,65.00,"FLAX",5.00,"Flax",25.00,.54,2.50,.15,.02,.50,.95,.90,1.20,1.50,22.50,5.00,.04,3.3e-03,.04,.02,.02,4.9e-03,2.4e-03,2.3e-03,.40,.20,5.0e-03,4.00,.75,10.00,660.00,33.00,.05,.14,62.00,73.00,81.00,84.00,1.00,.00,.00,.00,.00,.65,.10
66,66.00,"COTS",4.00,"Upland Cotton-harvested with",15.00,.50,4.00,.15,.01,.50,.95,.95,1.00,2.50,30.00,15.00,.01,2.0e-03,.05,.01,.01,8.1e-03,2.7e-03,2.5e-03,.40,.20,9.0e-03,4.00,.75,3.00,660.00,19.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
67,67.00,"COTP",4.00,"Upland Cotton-harvested with",15.00,.40,4.00,.15,.01,.50,.95,.95,1.00,2.50,30.00,15.00,.01,2.9e-03,.05,.01,.01,8.1e-03,2.7e-03,2.5e-03,.30,.20,9.0e-03,4.00,.75,3.00,660.00,19.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
68,68.00,"TOBC",4.00,"Tobacco",39.00,.55,4.50,.15,.05,.50,.95,.70,1.80,2.00,25.00,10.00,.01,1.6e-03,.04,.01,.01,4.8e-03,1.8e-03,1.4e-03,.55,.20,5.0e-03,4.00,.75,8.00,660.00,44.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
69,69.00,"SGBT",4.00,"Sugarbeet",30.00,2.00,5.00,.05,.05,.50,.95,.60,1.20,2.00,18.00,4.00,.01,2.0e-03,.05,.02,.01,6.0e-03,2.5e-03,1.9e-03,1.10,.20,7.0e-03,4.00,.75,10.00,660.00,35.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
70,70.00,"POTA",5.00,"Potato",25.00,.95,4.00,.15,.01,.50,.95,.60,.60,.60,22.00,7.00,.02,2.3e-03,.05,.02,.01,6.0e-03,2.5e-03,1.9e-03,.95,.20,5.0e-03,4.00,.75,14.80,660.00,30.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
71,71.00,"SPOT",4.00,"Sweetpotato",15.00,.60,4.00,.15,.01,.50,.95,.60,.80,2.00,24.00,14.00,9.7e-03,1.0e-03,.04,.01,9.0e-03,4.5e-03,1.9e-03,1.5e-03,.40,.05,6.0e-03,4.00,.75,3.00,660.00,19.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
72,72.00,"CRRT",5.00,"Carrot",30.00,1.12,3.50,.15,.01,.50,.95,.60,.30,1.20,24.00,7.00,.01,3.6e-03,.05,7.5e-03,1.2e-03,6.0e-03,3.0e-03,2.0e-03,.90,.20,6.0e-03,4.00,.75,10.00,660.00,35.00,.05,.14,67.00,77.00,83.00,87.00,1.00,.00,.00,.00,.00,.65,.10
